variable,before_mean,before_std,before_min,before_max,after_mean,after_std,after_min,after_max
Lev,inf,,-0.1948692900734395,inf,inf,,0.0403023549411518,inf
SL,inf,,0.0,inf,0.2643029453670682,0.32497355765350294,0.0,2.384630979656537
LL,0.4512717508632624,1.2976833025475154,0.0,31.21262895068112,0.3859537122546859,0.6214549982708214,0.0,4.795029506797266
SDR,0.18432222312693927,0.17308383923718004,0.0,1.1314797907339644,0.1837693909319677,0.17102107266878222,0.0,0.7932934090014339
Cash,inf,,-0.6240858286853841,inf,inf,,0.0,inf
ROA,inf,,-126.28666858581668,inf,inf,,-18.420503044318952,inf
ROE,-0.4279121708570581,19.362460727492937,-712.7027409106038,885.4568733089257,-0.11175095855758414,1.4268453200031435,-11.906891423787645,2.76144618759248
LLoan,inf,,0.0,inf,inf,,0.0,inf
